Level 1,Start_year,avg_pop_phase_1,avg_pop_phase_2,avg_pop_phase_3,avg_pop_phase_4,avg_pop_phase_5
ANDROY,2019,0.32499999999999996,0.45499999999999996,0.18,0.04,0.0
ANDROY,2022,0.1375,0.4,0.4125,0.05,0.0
ANDROY,2023,0.2,0.4125,0.3625,0.025,0.0
ANOSY,2019,0.32499999999999996,0.42500000000000004,0.175,0.07500000000000001,0.0
ANOSY,2022,0.19999999999999998,0.3833333333333333,0.3833333333333333,0.03333333333333333,0.0
ANOSY,2023,0.2333333333333333,0.48333333333333334,0.2833333333333333,0.0,0.0
ASAL Counties,2020,0.6108695652173913,0.3391304347826087,0.04782608695652174,0.002173913043478261,0.0
ASAL Counties,2021,0.5543478260869565,0.34782608695652173,0.08043478260869566,0.017391304347826087,0.0
ASAL Counties,2023,0.3934782608695652,0.38913043478260867,0.18043478260869567,0.03695652173913044,0.0
ATSIMO ANDREFANA,2019,0.31666666666666665,0.3833333333333333,0.2333333333333333,0.06666666666666667,0.0
ATSIMO ANDREFANA,2022,0.31666666666666665,0.35000000000000003,0.2833333333333333,0.05000000000000001,0.0
ATSIMO ANDREFANA,2023,0.39999999999999997,0.3666666666666667,0.21666666666666667,0.016666666666666666,0.0
ATSIMO ATSINANANA,2019,0.55,0.32499999999999996,0.125,0.0,0.0
ATSIMO ATSINANANA,2022,0.22999999999999998,0.42000000000000004,0.3,0.05,0.0
Abia,2021,0.541764705882353,0.3376470588235294,0.12058823529411763,0.0,0.0
Abia,2022,0.7002941176470587,0.22058823529411764,0.07911764705882353,0.0,0.0
Abia,2023,0.6620588235294118,0.2823529411764706,0.055588235294117654,0.0,0.0
Abia,2024,0.4435294117647059,0.4611764705882353,0.09529411764705883,0.0,0.0
Abia,2025,0.42823529411764705,0.4711764705882353,0.10058823529411764,0.0,0.0
Abyan,2018,0.21363636363636365,0.35454545454545455,0.2990909090909091,0.13,0.0
Abyan,2019,0.19666666666666668,0.3433333333333333,0.31,0.13333333333333333,0.0
Abyan,2020,0.21818181818181817,0.36590909090909096,0.3,0.1159090909090909,0.0
Abyan,2022,0.23636363636363636,0.2909090909090909,0.33636363636363636,0.13636363636363635,0.0
Abyan,2023,0.3136363636363636,0.35000000000000003,0.2727272727272727,0.06363636363636363,0.0
Abyan,2024,0.24545454545454548,0.2863636363636364,0.3409090909090909,0.1272727272727273,0.0
Abyan,2025,0.23636363636363636,0.2909090909090909,0.3045454545454545,0.16818181818181818,0.0
Acolhedores,2020,0.35714285714285715,0.33571428571428574,0.22142857142857145,0.08571428571428572,0.0
Acolhedores,2021,0.32142857142857145,0.32142857142857145,0.2785714285714286,0.07857142857142858,0.0
Ad Dali`,2023,0.24166666666666667,0.3666666666666667,0.27499999999999997,0.11666666666666665,0.0
Adamawa,2020,0.56,0.31115384615384617,0.12653846153846154,0.0019230769230769232,0.0
